,Book#,Book_Title,Description,Genres
10,11,The Dollar Trap: How the U.S. Dollar Tightened Its Grip on Global Finance,"The U.S. dollar’s dominance seems under threat. The near collapse of the U.S. financial system in 2008–2009, political paralysis that has blocked effective policymaking, and emerging competitors such as the Chinese renminbi have heightened speculation about the dollar’s looming displacement as the main reserve currency. Yet, as The Dollar Trap powerfully argues, the financThe U.S. dollar’s dominance seems under threat. The near collapse of the U.S. financial system in 2008–2009, political paralysis that has blocked effective policymaking, and emerging competitors such as the Chinese renminbi have heightened speculation about the dollar’s looming displacement as the main reserve currency. Yet, as The Dollar Trap powerfully argues, the financial crisis, a dysfunctional international monetary system, and U.S. policies have paradoxically strengthened the dollar’s importance. Eswar Prasad examines how the dollar came to have a central role in the world economy and demonstrates that it will remain the cornerstone of global finance for the foreseeable future. Marshaling a range of arguments and data, and drawing on the latest research, Prasad shows why it will be difficult to dislodge the dollar-centric system. With vast amounts of foreign financial capital locked up in dollar assets, including U.S. government securities, other countries now have a strong incentive to prevent a dollar crash. Prasad takes the reader through key contemporary issues in international finance—including the growing economic influence of emerging markets, the currency wars, the complexities of the China-U.S. relationship, and the role of institutions like the International Monetary Fund—and offers new ideas for fixing the flawed monetary system. Readers are also given a rare look into some of the intrigue and backdoor scheming in the corridors of international finance.The Dollar Trap offers a panoramic analysis of the fragile state of global finance and makes a compelling case that, despite all its flaws, the dollar will remain the ultimate safe-haven currency.","['economics', 'nonfiction', 'finance']"
11,12,Capture: A Theory of the Mind,"Why do we think, feel, and act in ways we wished we did not? For decades, New York Times bestselling author Dr. David A Kessler has studied this question with regard to tobacco, food, and drugs. Over the course of these investigations, he identified one underlying mechanism common to a broad range of human suffering. This phenomenon—capture—is the process by which our atteWhy do we think, feel, and act in ways we wished we did not? For decades, New York Times bestselling author Dr. David A Kessler has studied this question with regard to tobacco, food, and drugs. Over the course of these investigations, he identified one underlying mechanism common to a broad range of human suffering. This phenomenon—capture—is the process by which our attention is hijacked and our brains commandeered by forces outside our control.In Capture, Dr. Kessler considers some of the most profound questions we face as human beings: What are the origins of mental afflictions, from everyday unhappiness to addiction and depression—and how are they connected? Where does healing and transcendence fit into this realm of emotional experience?Analyzing an array of insights from psychology, medicine, neuroscience, literature, philosophy, and theology, Dr. Kessler deconstructs centuries of thinking, examining the central role of capture in mental illness and questioning traditional labels that have obscured our understanding of it. With a new basis for understanding the phenomenon of capture, he explores the concept through the emotionally resonant stories of both well-known and un-known people caught in its throes.The closer we can come to fully comprehending the nature of capture, Dr. Kessler argues, the better the chance to alleviate its deleterious effects and successfully change our thoughts and behavior Ultimately, Capture offers insight into how we form thoughts and emotions, manage trauma, and heal. For the first time, we can begin to understand the underpinnings of not only mental illness, but also our everyday worries and anxieties. Capture is an intimate and critical exploration of the most enduring human mystery of all: the mind.","['nonfiction', 'psychology', 'science', 'health', 'mentalhealth']"
12,13,Beyond Human Nature: How Culture and Experience Shape the Human Mind,"A timely and uniquely compelling plea for the importance of nurture in the ongoing nature-nurture debate.In this era of genome projects and brain scans, it is all too easy to overestimate the role of biology in human psychology. But in this passionate corrective to the idea that DNA is destiny, Jesse Prinz focuses on the most extraordinary aspect of human nature: that nurtA timely and uniquely compelling plea for the importance of nurture in the ongoing nature-nurture debate.In this era of genome projects and brain scans, it is all too easy to overestimate the role of biology in human psychology. But in this passionate corrective to the idea that DNA is destiny, Jesse Prinz focuses on the most extraordinary aspect of human nature: that nurture can supplement and supplant nature, allowing our minds to be profoundly influenced by experience and culture. Drawing on cutting-edge research in neuroscience, psychology, and anthropology, Prinz shatters the myth of human uniformity and reveals how our differing cultures and life experiences make each of us unique. Along the way he shows that we can t blame mental illness or addiction on our genes, and that societal factors shape gender differences in cognitive ability and sexual behavior. A much-needed contribution to the nature-nurture debate, Beyond Human Nature shows us that it is only through the lens of nurture that the spectrum of human diversity becomes fully and brilliantly visible.","['psychology', 'science', 'nonfiction', 'philosophy', 'neuroscience', 'evolution']"
13,14,"Surfing Uncertainty: Prediction, Action, and the Embodied Mind","How is it that thoroughly physical material beings such as ourselves can think, dream, feel, create and understand ideas, theories and concepts? How does mere matter give rise to all these non-material mental states, including consciousness itself? An answer to this central question of our existence is emerging at the busy intersection of neuroscience, psychology, artificiHow is it that thoroughly physical material beings such as ourselves can think, dream, feel, create and understand ideas, theories and concepts? How does mere matter give rise to all these non-material mental states, including consciousness itself? An answer to this central question of our existence is emerging at the busy intersection of neuroscience, psychology, artificial intelligence, and robotics.In this groundbreaking work, philosopher and cognitive scientist Andy Clark explores exciting new theories from these fields that reveal minds like ours to be prediction machines - devices that have evolved to anticipate the incoming streams of sensory stimulation before they arrive. These predictions then initiate actions that structure our worlds and alter the very things we need to engage and predict. Clark takes us on a journey in discovering the circular causal flows and the self-structuring of the environment that define ""the predictive brain."" What emerges is a bold, new, cutting-edge vision that reveals the brain as our driving force in the daily surf through the waves of sensory stimulation.","['psychology', 'philosophy', 'neuroscience', 'nonfiction', 'science']"
14,15,"Mindwise: How We Understand What Others Think, Believe, Feel, and Want","You are a mind reader, born with an extraordinary ability to understand what others think, feel, believe, want, and know. It’s a sixth sense you use every day, in every personal and professional relationship you have. At its best, this ability allows you to achieve the most important goal in almost any life: connecting, deeply and intimately and honestly, to other human beYou are a mind reader, born with an extraordinary ability to understand what others think, feel, believe, want, and know. It’s a sixth sense you use every day, in every personal and professional relationship you have. At its best, this ability allows you to achieve the most important goal in almost any life: connecting, deeply and intimately and honestly, to other human beings. At its worst, it is a source of misunderstanding and unnecessary conflict, leading to damaged relationships and broken dreams. How good are you at knowing the minds of others? How well can you guess what others think of you, know who really likes you, or tell when someone is lying? How well do you really understand the minds of those closest to you, from your spouse to your kids to your best friends? Do you really know what your coworkers, employees, competitors, or clients want?In this illuminating exploration of one of the great mysteries of the human mind, University of Chicago psychologist Nicholas Epley introduces us to what scientists have learned about our ability to understand the most complicated puzzle on the planet—other people—and the surprising mistakes we so routinely make. Why are we sometimes blind to the minds of others, treating them like objects or animals? Why do we sometimes talk to our cars, or the stars, as if there is a mind that can hear us? Why do we so routinely believe that others think, feel, and want what we do when, in fact, they do not? And why do we believe we understand our spouses, family, and friends so much better than we actually do? Mindwise will not turn other people into open books, but it will give you the wisdom to revolutionize how you think about them—and yourself. ","['psychology', 'nonfiction', 'selfhelp', 'science', 'business']"
15,16,The Executive Brain: Frontal Lobes and the Civilized Mind,"The Executive Brain is the first book to explore in popular scientific terms one of the most important and rapidly evolving topics in contemporary neuropsychology, the most ""human"" and recently evolved region of the brain--the frontal lobes. Crucial for all high-order functioning, it is only in humans that the frontal lobes are so highly developed. They hold the key to ourThe Executive Brain is the first book to explore in popular scientific terms one of the most important and rapidly evolving topics in contemporary neuropsychology, the most ""human"" and recently evolved region of the brain--the frontal lobes. Crucial for all high-order functioning, it is only in humans that the frontal lobes are so highly developed. They hold the key to our judgment, our social and ethical behavior, our imagination, indeed, to our ""soul."" The author shows how the frontal lobes enable us to engage in complex mental processes, how vulnerable they are to injury, and how devastating the effects of damage often are, leading to chaotic, disorganized, asocial, and even criminal behavior.  Made up of fascinating case histories and anecdotes, Goldberg's book offers a panorama of state-of-the-art ideas and advances in cognitive neuroscience. It is also an intellectual memoir, filled with vignettes about the author's early training with the great Russian neuropsychologist A.R. Luria, Goldberg's escape from the Soviet Union, and his later interactions with patients and professionals around the world.","['neuroscience', 'psychology', 'science', 'brain', 'nonfiction', 'biology']"
16,17,The Mind&;s New Science: A History Of The Cognitive Revolution,"The first full-scale history of cognitive science, this work addresses a central issue: What is the nature of knowledge?]","['psychology', 'science', 'nonfiction', 'philosophy', 'neuroscience', 'history']"
17,18,Why Time Flies: A Mostly Scientific Investigation,"“Time” is the most commonly used noun in the English language; it’s always on our minds and it advances through every living moment. But what is time, exactly? Do children experience it the same way adults do? Why does it seem to slow down when we’re bored and speed by as we get older? How and why does time fly?In this witty and meditative exploration, award-winning author“Time” is the most commonly used noun in the English language; it’s always on our minds and it advances through every living moment. But what is time, exactly? Do children experience it the same way adults do? Why does it seem to slow down when we’re bored and speed by as we get older? How and why does time fly?In this witty and meditative exploration, award-winning author and New Yorker staff writer Alan Burdick takes readers on a personal quest to understand how time gets in us and why we perceive it the way we do. In the company of scientists, he visits the most accurate clock in the world (which exists only on paper); discovers that “now” actually happened a split-second ago; finds a twenty-fifth hour in the day; lives in the Arctic to lose all sense of time; and, for one fleeting moment in a neuroscientist’s lab, even makes time go backward. Why Time Flies is an instant classic, a vivid and intimate examination of the clocks that tick inside us all.","['science', 'nonfiction', 'psychology', 'philosophy', 'audiobook']"
18,19,The Future of the Brain: Essays by the World;s Leading Neuroscientists,"Including a chapter by 2014 Nobel laureates May-Britt Moser and Edvard MoserAn unprecedented look at the quest to unravel the mysteries of the human brain, The Future of the Brain takes readers to the absolute frontiers of science. Original essays by leading researchers such as Christof Koch, George Church, Olaf Sporns, and May-Britt and Edvard Moser describe the spectaculIncluding a chapter by 2014 Nobel laureates May-Britt Moser and Edvard MoserAn unprecedented look at the quest to unravel the mysteries of the human brain, The Future of the Brain takes readers to the absolute frontiers of science. Original essays by leading researchers such as Christof Koch, George Church, Olaf Sporns, and May-Britt and Edvard Moser describe the spectacular technological advances that will enable us to map the more than eighty-five billion neurons in the brain, as well as the challenges that lie ahead in understanding the anticipated deluge of data and the prospects for building working simulations of the human brain. A must-read for anyone trying to understand ambitious new research programs such as the Obama administration's BRAIN Initiative and the European Union's Human Brain Project, The Future of the Brain sheds light on the breathtaking implications of brain science for medicine, psychiatry, and even human consciousness itself.Contributors include: Misha Ahrens, Ned Block, Matteo Carandini, George Church, John Donoghue, Chris Eliasmith, Simon Fisher, Mike Hawrylycz, Sean Hill, Christof Koch, Leah Krubitzer, Michel Maharbiz, Kevin Mitchell, Edvard Moser, May-Britt Moser, David Poeppel, Krishna Shenoy, Olaf Sporns, Anthony Zador.","['neuroscience', 'science', 'nonfiction', 'psychology', 'brain', 'essays', 'medicine', 'biology', 'popularscience', 'artificialintelligence']"
19,20,Computational Thinking,"An introduction to computational thinking that traces a genealogy beginning centuries before the digital computer.A few decades into the digital era, scientists discovered that thinking in terms of computation made possible an entirely new way of organizing scientific investigation; eventually, every field had a computational branch: computational physics, computational biAn introduction to computational thinking that traces a genealogy beginning centuries before the digital computer.A few decades into the digital era, scientists discovered that thinking in terms of computation made possible an entirely new way of organizing scientific investigation; eventually, every field had a computational branch: computational physics, computational biology, computational sociology. More recently, ""computational thinking"" has become part of the K-12 curriculum. But what is computational thinking? This volume in the MIT Press Essential Knowledge series offers an accessible overview, tracing a genealogy that begins centuries before digital computers and portraying computational thinking as pioneers of computing have described it.The authors explain that computational thinking (CT) is not a set of concepts for programming; it is a way of thinking that is honed through practice: the mental skills for designing computations to do jobs for us, and for explaining and interpreting the world as a complex of information processes. Mathematically trained experts (known as ""computers"") who performed complex calculations as teams engaged in CT long before electronic computers. The authors identify six dimensions of today's highly developed CT--methods, machines, computing education, software engineering, computational science, and design--and cover each in a chapter. Along the way, they debunk inflated claims for CT and computation while making clear the power of CT in all its complexity and multiplicity.","['popularscience', 'nonfiction']"
20,21,This View of Life: Completing the Darwinian Revolution,"It is widely understood that Charles Darwin's theory of evolution completely revolutionized the study of biology. Yet, according to David Sloan Wilson, the Darwinian revolution won't be truly complete until it is applied more broadly--to everything associated with the words ""human,"" ""culture,"" and ""policy.""In a series of engaging and insightful examples--from the breedingIt is widely understood that Charles Darwin's theory of evolution completely revolutionized the study of biology. Yet, according to David Sloan Wilson, the Darwinian revolution won't be truly complete until it is applied more broadly--to everything associated with the words ""human,"" ""culture,"" and ""policy.""In a series of engaging and insightful examples--from the breeding of hens to the timing of cataract surgeries to the organization of an automobile plant--Wilson shows how an evolutionary worldview provides a practical tool kit for understanding not only genetic evolution but also the fast-paced changes that are having an impact on our world and ourselves. What emerges is an incredibly empowering argument: If we can become wise managers of evolutionary processes, we can solve the problems of our age at all scales--from the efficacy of our groups to our well-being as individuals to our stewardship of the planet Earth.","['science', 'nonfiction', 'biology', 'philosophy', 'history', 'evolution']"
21,22,Specialization and Trade: A Reintroduction to Economics: An Introduction,"Since the end of the second World War, economics professors and classroom textbooks have been telling us that the economy is one big machine that can be effectively regulated by economic experts and tuned by government agencies like the Federal Reserve Board. It turns out they were wrong. Their equations do not hold up. Their policies have not produced the promised resultsSince the end of the second World War, economics professors and classroom textbooks have been telling us that the economy is one big machine that can be effectively regulated by economic experts and tuned by government agencies like the Federal Reserve Board. It turns out they were wrong. Their equations do not hold up. Their policies have not produced the promised results. Their interpretations of economic events -- as reported by the media -- are often of-the-mark, and unconvincing. A key alternative to the one big machine mindset is to recognize how the economy is instead an evolutionary system, with constantly-changing patterns of specialization and trade. This book introduces you to this powerful approach for understanding economic performance. By putting specialization at the center of economic analysis, Arnold Kling provides you with new ways to think about issues like sustainability, financial instability, job creation, and inflation. In short, he removes stiff, narrow perspectives and instead provides a full, multi-dimensional perspective on a continually evolving system.","['economics', 'nonfiction']"
22,23,Plato and the Nerd: The Creative Partnership of Humans and Technology,"How humans and technology evolve together in a creative partnership.In this book, Edward Ashford Lee makes a bold claim: that the creators of digital technology have an unsurpassed medium for creativity. Technology has advanced to the point where progress seems limited not by physical constraints but the human imagination. Writing for both literate technologists and numeraHow humans and technology evolve together in a creative partnership.In this book, Edward Ashford Lee makes a bold claim: that the creators of digital technology have an unsurpassed medium for creativity. Technology has advanced to the point where progress seems limited not by physical constraints but the human imagination. Writing for both literate technologists and numerate humanists, Lee makes a case for engineering--creating technology--as a deeply intellectual and fundamentally creative process. Explaining why digital technology has been so transformative and so liberating, Lee argues that the real power of technology stems from its partnership with humans.Lee explores the ways that engineers use models and abstraction to build inventive artificial worlds and to give us things that we never dreamed of--for example, the ability to carry in our pockets everything humans have ever published. But he also attempts to counter the runaway enthusiasm of some technology boosters who claim everything in the physical world is a computation--that even such complex phenomena as human cognition are software operating on digital data. Lee argues that the evidence for this is weak, and the likelihood that nature has limited itself to processes that conform to today's notion of digital computation is remote.Lee goes on to argue that artificial intelligence's goal of reproducing human cognitive functions in computers vastly underestimates the potential of computers. In his view, technology is coevolving with humans. It augments our cognitive and physical capabilities while we nurture, develop, and propagate the technology itself. Complementarity is more likely than competition.","['philosophy', 'science', 'technology']"
23,24,"The Difference: How the Power of Diversity Creates Better Groups, Firms, Schools, and Societies","In this landmark book, Scott Page redefines the way we understand ourselves in relation to one another. The Difference is about how we think in groups--and how our collective wisdom exceeds the sum of its parts. Why can teams of people find better solutions than brilliant individuals working alone? And why are the best group decisions and predictions those that draw upon tIn this landmark book, Scott Page redefines the way we understand ourselves in relation to one another. The Difference is about how we think in groups--and how our collective wisdom exceeds the sum of its parts. Why can teams of people find better solutions than brilliant individuals working alone? And why are the best group decisions and predictions those that draw upon the very qualities that make each of us unique? The answers lie in diversity--not what we look like outside, but what we look like within, our distinct tools and abilities.The Difference reveals that progress and innovation may depend less on lone thinkers with enormous IQs than on diverse people working together and capitalizing on their individuality. Page shows how groups that display a range of perspectives outperform groups of like-minded experts. Diversity yields superior outcomes, and Page proves it using his own cutting-edge research. Moving beyond the politics that cloud standard debates about diversity, he explains why difference beats out homogeneity, whether you're talking about citizens in a democracy or scientists in the laboratory. He examines practical ways to apply diversity's logic to a host of problems, and along the way offers fascinating and surprising examples, from the redesign of the Chicago ""El"" to the truth about where we store our ketchup.Page changes the way we understand diversity--how to harness its untapped potential, how to understand and avoid its traps, and how we can leverage our differences for the benefit of all.","['nonfiction', 'business', 'sociology', 'psychology', 'leadership']"
